test_instance,truck_cus,drone_cus,inference_time,timespan
data/testing/Ulsan_Namgu/101/20250429T202357890796,100,0,0.15727,5171.08
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202228890910,100,0,0.19732,4986.94
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202528690728,100,0,0.165,4892.06
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T203345972332,100,0,0.22945,5079.09
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202657930066,100,0,0.17707,4978.66
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202442948150,100,0,0.15543,5034.43
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T203432447596,100,0,0.2625,4420.16
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T203648535709,100,0,0.2068,5113.64
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T203255663533,100,0,0.229,5052.78
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202312920336,100,0,0.17101,4883.04
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202612942891,100,0,0.15722,5246.14
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T203125606717,100,0,0.10644,5107.65
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T203603362699,100,0,0.22407,4626.04
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202956896730,100,0,0.26477,5213.55
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T203210851049,100,0,0.27704,5100.83
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202912529202,100,0,0.21361,5346.13
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202742841509,100,0,0.13505,4751.09
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T203518794074,100,0,0.15451,5282.55
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202827726478,100,0,0.17828,4849.56
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T203041989482,100,0,0.36994,5270.5
------,------,------,------,------
MEAN,,,0.2016,5020.2960
