test_instance,truck_cus,drone_cus,inference_time,timespan
data/testing/Ulsan_Namgu/26/20250429T201410048188,25,0,0.01035,2327.15
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201324513603,25,0,0.00696,2255.93
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201318175316,25,0,0.00827,2329.01
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201403916329,25,0,0.00923,1796.38
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201348874067,25,0,0.00872,2600.36
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201406932064,25,0,0.0128,2284.55
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201311798876,25,0,0.01498,2162.5
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201327500227,25,0,0.00682,1922.68
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201339665233,25,0,0.00822,2167.65
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201355005035,25,0,0.00898,2217.28
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201315020693,25,0,0.00864,2162.85
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201345751128,25,0,0.00756,2343.0
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201333543418,25,0,0.00913,2314.14
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201330509839,25,0,0.01331,1930.47
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201358033091,25,0,0.00769,1927.42
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201321355729,25,0,0.00715,2582.2
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201351882751,25,0,0.00662,2346.97
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201342729033,25,0,0.00897,2167.19
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201400928645,25,0,0.01007,2589.89
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201336462531,25,0,0.00697,1985.34
------,------,------,------,------
MEAN,,,0.0091,2220.6480
