test_instance,truck_cus,drone_cus,inference_time,timespan
data/testing/Ulsan_Namgu/16/20250429T201211484932,15,0,0.00651,1500.86
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201229739626,15,0,0.00352,1746.31
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201221736298,15,0,0.00363,1699.35
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201218247115,15,0,0.0038,1696.08
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201231912191,15,0,0.00458,1553.66
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201212666270,15,0,0.00381,1534.77
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201220585643,15,0,0.00419,2156.84
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201217044814,15,0,0.00308,1707.16
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201233021354,15,0,0.00316,1470.04
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201214857366,15,0,0.00386,1778.9
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201222891892,15,0,0.00409,1679.45
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201213787797,15,0,0.00541,1734.59
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201225318979,15,0,0.00523,1654.97
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201215927917,15,0,0.00381,1743.13
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201219422149,15,0,0.00339,1660.55
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201227508864,15,0,0.00362,1601.53
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201228633790,15,0,0.00371,1688.26
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201230813974,15,0,0.00444,1637.86
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201224072752,15,0,0.00454,1720.77
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201226455912,15,0,0.00398,1543.7
------,------,------,------,------
MEAN,,,0.0041,1675.4390
