test_instance,truck_cus,drone_cus,inference_time,timespan
data/testing/Ulsan_Namgu/9/20250429T201128642965,8,0,0.00493,1391.39
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201127607522,8,0,0.00152,1213.16
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201129352193,8,0,0.00126,1185.11
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201127238276,8,0,0.00149,1472.89
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201128293848,8,0,0.00153,1504.69
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201130406725,8,0,0.00137,1335.87
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201124212065,8,0,0.00155,1209.26
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201128973984,8,0,0.00147,1300.16
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201123529537,8,0,0.00139,1021.57
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201126241147,8,0,0.00185,1364.56
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201125040405,8,0,0.00126,1527.88
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201126885314,8,0,0.00163,1247.07
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201126569215,8,0,0.00152,1061.29
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201124640438,8,0,0.00135,1536.96
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201125429764,8,0,0.00168,1192.03
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201127939697,8,0,0.00157,1432.74
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201130063727,8,0,0.00143,1221.81
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201123878894,8,0,0.00177,1136.46
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201125804942,8,0,0.00151,1271.6
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201129707459,8,0,0.00154,1526.24
------,------,------,------,------
MEAN,,,0.0017,1307.6370
