test_instance,truck_cus,drone_cus,inference_time,timespan
data/testing/Incheon_small/16/20250501T185356285737,11,4,0.01446,2316.17
------,------,------,------,------
data/testing/Incheon_small/16/20250501T185357952479,10,5,0.01192,2169.91
------,------,------,------,------
data/testing/Incheon_small/16/20250501T185414096335,10,5,0.01166,2712.13
------,------,------,------,------
data/testing/Incheon_small/16/20250501T185401124980,9,6,0.00886,2566.85
------,------,------,------,------
data/testing/Incheon_small/16/20250501T185423687238,10,5,0.01065,2094.73
------,------,------,------,------
data/testing/Incheon_small/16/20250501T185407692181,9,6,0.00968,2971.84
------,------,------,------,------
data/testing/Incheon_small/16/20250501T185418930050,10,5,0.00986,2487.13
------,------,------,------,------
data/testing/Incheon_small/16/20250501T185404254413,10,5,0.01136,2603.5
------,------,------,------,------
data/testing/Incheon_small/16/20250501T185359580641,9,6,0.00973,2688.5
------,------,------,------,------
data/testing/Incheon_small/16/20250501T185410867205,10,5,0.01115,2638.59
------,------,------,------,------
MEAN,,,0.0109,2524.9350
