test_instance,truck_cus,drone_cus,inference_time,timespan
data/testing/Incheon_small/26/20250501T185716059265,15,10,0.06653,2939.22
------,------,------,------,------
data/testing/Incheon_small/26/20250501T185724674742,15,10,0.06382,3061.29
------,------,------,------,------
data/testing/Incheon_small/26/20250501T185632717126,15,10,0.05701,3843.28
------,------,------,------,------
data/testing/Incheon_small/26/20250501T185733187569,16,9,0.05665,3046.58
------,------,------,------,------
data/testing/Incheon_small/26/20250501T185720431877,16,9,0.0609,4131.03
------,------,------,------,------
data/testing/Incheon_small/26/20250501T185654655430,14,11,0.05895,3865.52
------,------,------,------,------
data/testing/Incheon_small/26/20250501T185703077936,16,9,0.0555,3333.82
------,------,------,------,------
data/testing/Incheon_small/26/20250501T185741887984,16,9,0.05192,3582.43
------,------,------,------,------
data/testing/Incheon_small/26/20250501T185637208422,16,9,0.05332,2994.13
------,------,------,------,------
data/testing/Incheon_small/26/20250501T185658887342,16,9,0.04573,3993.69
------,------,------,------,------
MEAN,,,0.0570,3479.0990
