test_instance,truck_cus,drone_cus,inference_time,timespan
data/testing/Incheon_big/9/20250501T145409358916,4,4,0.00536,5335.21
------,------,------,------,------
data/testing/Incheon_big/9/20250501T145449883959,5,3,0.00266,4742.64
------,------,------,------,------
data/testing/Incheon_big/9/20250501T145440866182,5,3,0.00213,3818.47
------,------,------,------,------
data/testing/Incheon_big/9/20250501T145434930543,4,4,0.00238,5138.27
------,------,------,------,------
data/testing/Incheon_big/9/20250501T145446882580,5,3,0.00197,5041.08
------,------,------,------,------
data/testing/Incheon_big/9/20250501T145423610361,5,3,0.00241,4336.19
------,------,------,------,------
data/testing/Incheon_big/9/20250501T145431810814,4,4,0.00257,4543.94
------,------,------,------,------
data/testing/Incheon_big/9/20250501T145412196761,5,3,0.00222,3849.99
------,------,------,------,------
data/testing/Incheon_big/9/20250501T145452254203,4,4,0.00267,3351.89
------,------,------,------,------
data/testing/Incheon_big/9/20250501T145454632740,5,3,0.00283,3540.29
------,------,------,------,------
MEAN,,,0.0027,4369.7970
