test_instance,truck_cus,drone_cus,inference_time,timespan
data/testing/Ulsan_Namgu/101/20250429T202357890796,75,25,16.39709,3485.64
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202228890910,73,27,18.21154,3365.52
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202528690728,75,25,598.23444,3581.42
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T203345972332,72,28,23.68581,3536.88
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202657930066,80,20,17.45631,3441.41
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202442948150,79,21,17.11788,3486.02
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T203432447596,76,24,18.64171,3362.57
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T203648535709,76,24,16.83228,3764.58
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T203255663533,76,24,17.50793,3522.26
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202312920336,75,25,23.47541,3524.87
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202612942891,76,24,18.35396,3773.64
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T203125606717,72,28,22.15491,3707.63
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T203603362699,74,26,566.62867,3364.29
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202956896730,76,24,18.98937,3756.68
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T203210851049,77,23,16.56867,3638.33
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202912529202,77,23,17.40717,3765.77
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202742841509,79,21,17.07055,3982.26
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T203518794074,74,26,17.9392,4029.55
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T202827726478,78,22,17.04603,3221.73
------,------,------,------,------
data/testing/Ulsan_Namgu/101/20250429T203041989482,74,26,19.02251,3748.34
------,------,------,------,------
MEAN,,,74.9371,3602.9695
