test_instance,truck_cus,drone_cus,inference_time,timespan
data/testing/Ulsan_Namgu/26/20250429T201410048188,17,8,0.06971,1729.02
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201324513603,16,9,0.07575,1514.44
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201318175316,18,7,0.06373,1513.42
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201403916329,19,6,55.45051,1215.62
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201348874067,17,8,0.05724,2138.32
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201406932064,17,8,0.06263,1366.29
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201311798876,15,10,0.06961,1456.67
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201327500227,15,10,0.05343,1526.06
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201339665233,16,9,0.05989,1609.37
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201355005035,15,10,0.06471,1504.51
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201315020693,18,7,0.06318,1697.1
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201345751128,17,8,0.06145,1495.32
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201333543418,17,8,0.05775,1544.1
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201330509839,18,7,0.05811,1375.05
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201358033091,15,10,0.06629,1350.18
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201321355729,17,8,0.06702,1813.23
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201351882751,18,7,0.05518,1653.73
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201342729033,17,8,0.06155,1547.95
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201400928645,18,7,0.06229,1657.23
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201336462531,17,8,0.06121,1256.31
------,------,------,------,------
MEAN,,,2.8321,1548.1960
