test_instance,truck_cus,drone_cus,inference_time,timespan
data/testing/Incheon_small/51/20250507T135635429812,36,14,0.94699,4402.14
------,------,------,------,------
data/testing/Incheon_small/51/20250507T135710286241,35,15,0.6862,5680.68
------,------,------,------,------
data/testing/Incheon_small/51/20250507T135839708057,35,15,121.35277,5483.99
------,------,------,------,------
data/testing/Incheon_small/51/20250507T135434570106,32,18,0.89241,5609.06
------,------,------,------,------
data/testing/Incheon_small/51/20250507T135416650770,34,16,0.884,5101.19
------,------,------,------,------
data/testing/Incheon_small/51/20250507T135914905394,36,14,0.83128,5552.76
------,------,------,------,------
data/testing/Incheon_small/51/20250507T135544963319,32,18,0.86775,5286.06
------,------,------,------,------
data/testing/Incheon_small/51/20250507T135727810941,33,17,0.86093,5251.43
------,------,------,------,------
data/testing/Incheon_small/51/20250507T135618295891,34,16,0.90953,5264.16
------,------,------,------,------
data/testing/Incheon_small/51/20250507T135803859624,34,16,0.91109,5263.72
------,------,------,------,------
data/testing/Incheon_small/51/20250507T135856990069,35,15,0.86329,5777.61
------,------,------,------,------
data/testing/Incheon_small/51/20250507T135653053314,37,13,0.88069,5259.86
------,------,------,------,------
data/testing/Incheon_small/51/20250507T135527425237,35,15,0.708,4937.42
------,------,------,------,------
data/testing/Incheon_small/51/20250507T135932632382,35,15,0.9686,5656.46
------,------,------,------,------
data/testing/Incheon_small/51/20250507T135509560197,35,15,0.93249,6346.31
------,------,------,------,------
data/testing/Incheon_small/51/20250507T135451850100,35,15,0.99304,5120.78
------,------,------,------,------
data/testing/Incheon_small/51/20250507T135745857985,36,14,0.87698,5770.68
------,------,------,------,------
data/testing/Incheon_small/51/20250507T135950127959,37,13,0.81299,5598.41
------,------,------,------,------
data/testing/Incheon_small/51/20250507T135601858638,37,13,0.85838,5468.2
------,------,------,------,------
data/testing/Incheon_small/51/20250507T135821606660,35,15,0.83288,5679.69
------,------,------,------,------
MEAN,,,6.8935,5425.5305
