test_instance,truck_cus,drone_cus,inference_time,timespan
data/testing/Incheon_big/4/20250501T185007524609,2,1,0.00359,2069.34
------,------,------,------,------
data/testing/Incheon_big/4/20250501T185014645204,2,1,0.00069,2341.95
------,------,------,------,------
data/testing/Incheon_big/4/20250501T185009620659,2,1,0.00074,2543.49
------,------,------,------,------
data/testing/Incheon_big/4/20250501T185014174143,2,1,0.0007,4684.45
------,------,------,------,------
data/testing/Incheon_big/4/20250501T185005903275,2,1,0.00074,2499.61
------,------,------,------,------
data/testing/Incheon_big/4/20250501T185015216073,2,1,0.00068,5751.68
------,------,------,------,------
data/testing/Incheon_big/4/20250501T185013062157,2,1,0.00065,4588.8
------,------,------,------,------
data/testing/Incheon_big/4/20250501T185006381746,2,1,0.00066,2544.88
------,------,------,------,------
data/testing/Incheon_big/4/20250501T185008010477,2,1,0.00063,1834.47
------,------,------,------,------
data/testing/Incheon_big/4/20250501T185006979234,2,1,0.00074,3788.14
------,------,------,------,------
MEAN,,,0.0010,3264.6810
