test_instance,truck_cus,drone_cus,inference_time,timespan
data/testing/Incheon_small/4/20250501T185210766908,2,1,0.00382,825.49
------,------,------,------,------
data/testing/Incheon_small/4/20250501T185209834250,2,1,0.0008,940.4
------,------,------,------,------
data/testing/Incheon_small/4/20250501T185210284507,2,1,0.0007,1425.3
------,------,------,------,------
data/testing/Incheon_small/4/20250501T185209927194,2,1,0.00063,1339.64
------,------,------,------,------
data/testing/Incheon_small/4/20250501T185210949288,2,1,0.00068,1432.07
------,------,------,------,------
data/testing/Incheon_small/4/20250501T185210097552,2,1,0.00061,752.66
------,------,------,------,------
data/testing/Incheon_small/4/20250501T185211233595,2,1,0.0007,836.87
------,------,------,------,------
data/testing/Incheon_small/4/20250501T185210182744,2,1,0.00062,782.53
------,------,------,------,------
data/testing/Incheon_small/4/20250501T185211041568,2,1,0.00062,1215.6
------,------,------,------,------
data/testing/Incheon_small/4/20250501T185211138905,2,1,0.00092,1068.54
------,------,------,------,------
MEAN,,,0.0010,1061.9100
