test_instance,truck_cus,drone_cus,inference_time,timespan
data/testing/Ulsan_Namgu/51/20250429T201912067367,38,12,0.8384,2503.89
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201750104638,37,13,0.89223,2181.12
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201849247948,35,15,0.92777,2442.4
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201802450702,36,14,0.87207,2341.2
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201608047243,37,13,0.88125,2556.63
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201900569834,34,16,0.96858,2414.35
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201620709128,35,15,1.11517,2236.63
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201555811937,36,14,0.95354,2261.25
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201814842660,38,12,0.90981,2161.12
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201737636820,38,12,0.93411,2644.33
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201837825985,35,15,1.16072,2113.31
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201923224192,35,15,1.19711,2429.18
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201934646240,36,14,0.91766,2236.96
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201645802186,36,14,0.90726,2320.85
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201543902133,37,13,0.9001,2491.93
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201826686643,38,12,0.92281,2179.48
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201659095853,35,15,0.99506,2278.52
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201711750832,33,17,0.9893,2089.94
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201724936277,35,15,127.10694,2273.37
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201633109714,36,14,0.89505,2066.06
------,------,------,------,------
MEAN,,,7.2642,2311.1260
