test_instance,truck_cus,drone_cus,inference_time,timespan
data/testing/Ulsan_Namgu/16/20250429T201211484932,9,6,0.01292,1067.4
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201229739626,10,5,0.0107,1052.17
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201221736298,8,7,0.01245,1236.95
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201218247115,10,5,0.01004,1221.66
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201231912191,10,5,0.01042,1125.82
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201212666270,10,5,0.00858,1186.71
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201220585643,9,6,0.01129,1486.17
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201217044814,9,6,0.01139,1169.73
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201233021354,10,5,0.01104,1048.21
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201214857366,10,5,0.0103,1060.11
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201222891892,10,5,0.00896,1383.68
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201213787797,10,5,0.01141,1265.42
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201225318979,10,5,0.01135,1148.45
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201215927917,10,5,0.01081,1172.17
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201219422149,9,6,0.00882,1074.43
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201227508864,9,6,0.00955,1079.17
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201228633790,10,5,0.01118,1221.31
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201230813974,10,5,0.01053,1110.07
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201224072752,9,6,0.01042,1212.21
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201226455912,9,6,0.00986,1057.63
------,------,------,------,------
MEAN,,,0.0106,1168.9735
