test_instance,truck_cus,drone_cus,inference_time,timespan
data/testing/Ulsan_Namgu/4/20250507T165235195064,2,1,0.00366,495.13
------,------,------,------,------
data/testing/Ulsan_Namgu/4/20250507T165234843031,2,1,0.00095,496.28
------,------,------,------,------
data/testing/Ulsan_Namgu/4/20250507T165233900846,1,2,0.00081,347.3
------,------,------,------,------
data/testing/Ulsan_Namgu/4/20250507T165234386182,2,1,0.00072,516.46
------,------,------,------,------
data/testing/Ulsan_Namgu/4/20250507T165233763556,2,1,0.00079,574.24
------,------,------,------,------
data/testing/Ulsan_Namgu/4/20250507T165234314638,2,1,0.00105,437.01
------,------,------,------,------
data/testing/Ulsan_Namgu/4/20250507T165233826724,2,1,0.00091,521.58
------,------,------,------,------
data/testing/Ulsan_Namgu/4/20250507T165234773190,2,1,0.00075,550.02
------,------,------,------,------
data/testing/Ulsan_Namgu/4/20250507T165235122957,2,1,0.00076,679.64
------,------,------,------,------
data/testing/Ulsan_Namgu/4/20250507T165234912467,2,1,0.0007,317.3
------,------,------,------,------
data/testing/Ulsan_Namgu/4/20250507T165234535508,2,1,0.0012,750.86
------,------,------,------,------
data/testing/Ulsan_Namgu/4/20250507T165234111064,2,1,0.0009,256.08
------,------,------,------,------
data/testing/Ulsan_Namgu/4/20250507T165234451554,3,0,0.00071,617.43
------,------,------,------,------
data/testing/Ulsan_Namgu/4/20250507T165234248590,1,2,0.00069,240.32
------,------,------,------,------
data/testing/Ulsan_Namgu/4/20250507T165234179139,2,1,0.00066,402.73
------,------,------,------,------
data/testing/Ulsan_Namgu/4/20250507T165234039959,2,1,0.0015,416.63
------,------,------,------,------
data/testing/Ulsan_Namgu/4/20250507T165234620991,2,1,0.00089,701.62
------,------,------,------,------
data/testing/Ulsan_Namgu/4/20250507T165234694627,2,1,0.00077,346.14
------,------,------,------,------
data/testing/Ulsan_Namgu/4/20250507T165234994613,2,1,0.00069,1072.91
------,------,------,------,------
data/testing/Ulsan_Namgu/4/20250507T165233967588,2,1,0.00078,378.41
------,------,------,------,------
MEAN,,,0.0010,505.9045
