test_instance,truck_cus,drone_cus,inference_time,timespan
data/testing/Incheon_big/26/20250501T144557436303,16,9,0.06588,7858.01
------,------,------,------,------
data/testing/Incheon_big/26/20250501T145224470673,17,8,0.06246,8487.42
------,------,------,------,------
data/testing/Incheon_big/26/20250501T144623025068,17,8,0.05704,7593.55
------,------,------,------,------
data/testing/Incheon_big/26/20250501T144533649273,18,7,0.0437,6847.31
------,------,------,------,------
data/testing/Incheon_big/26/20250501T144806950557,17,8,0.05534,8117.11
------,------,------,------,------
data/testing/Incheon_big/26/20250501T144833215371,16,9,0.05922,8147.69
------,------,------,------,------
data/testing/Incheon_big/26/20250501T144923584401,16,9,0.06838,7607.25
------,------,------,------,------
data/testing/Incheon_big/26/20250501T144858887779,17,8,0.05232,8050.91
------,------,------,------,------
data/testing/Incheon_big/26/20250501T145106634895,16,9,0.05016,9133.18
------,------,------,------,------
data/testing/Incheon_big/26/20250501T144649246201,17,8,0.05436,8562.79
------,------,------,------,------
MEAN,,,0.0569,8040.5220
