test_instance,truck_cus,drone_cus,inference_time,timespan
data/testing/Ulsan_Namgu/51/20250429T201912067367,41,9,1676.71083,6329.14
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201750104638,40,10,1761.10634,5697.54
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201849247948,39,11,1689.89221,6911.28
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201802450702,43,7,1669.0162,5926.37
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201608047243,41,9,1684.92692,6624.92
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201900569834,40,10,1671.57276,6375.39
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201620709128,44,6,1724.77533,6324.75
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201555811937,42,8,1896.555,6572.69
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201814842660,42,8,1680.38554,6393.73
------,------,------,------,------
data/testing/Ulsan_Namgu/51/20250429T201737636820,42,8,1685.32669,7006.37
------,------,------,------,------
MEAN,,,1714.0268,6416.2180
