test_instance,truck_cus,drone_cus,inference_time,timespan
data/testing/Ulsan_Namgu/26/20250429T201410048188,21,4,490.29636,2925.92
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201324513603,22,3,442.38649,3364.02
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201318175316,21,4,433.19841,3153.84
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201403916329,21,4,444.98815,2576.77
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201348874067,21,4,372.24387,3492.63
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201406932064,20,5,383.78983,3086.49
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201311798876,21,4,435.14846,2948.06
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201327500227,20,5,398.43495,2839.95
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201339665233,21,4,417.7473,2923.16
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201355005035,21,4,439.09229,3423.49
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201315020693,22,3,451.21679,2377.61
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201345751128,21,4,409.369,3464.29
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201333543418,19,6,383.43472,3114.32
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201330509839,21,4,423.01083,2987.75
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201358033091,21,4,418.5862,3041.14
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201321355729,21,4,432.40288,3464.34
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201351882751,21,4,396.1206,3398.17
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201342729033,21,4,417.50209,3030.92
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201400928645,21,4,397.15913,3453.46
------,------,------,------,------
data/testing/Ulsan_Namgu/26/20250429T201336462531,20,5,410.0956,2976.85
------,------,------,------,------
MEAN,,,419.8112,3102.1590
