test_instance,truck_cus,drone_cus,inference_time,timespan
data/testing/Ulsan_Namgu/4/20250507T165235195064,2,1,33.18661,495.13
------,------,------,------,------
data/testing/Ulsan_Namgu/4/20250507T165234843031,2,1,32.06993,496.28
------,------,------,------,------
data/testing/Ulsan_Namgu/4/20250507T165233900846,2,1,33.20403,782.95
------,------,------,------,------
data/testing/Ulsan_Namgu/4/20250507T165234386182,2,1,31.59323,516.46
------,------,------,------,------
data/testing/Ulsan_Namgu/4/20250507T165233763556,2,1,32.91256,574.24
------,------,------,------,------
data/testing/Ulsan_Namgu/4/20250507T165234314638,2,1,33.32014,437.01
------,------,------,------,------
data/testing/Ulsan_Namgu/4/20250507T165233826724,3,0,40.0491,399.41873
------,------,------,------,------
data/testing/Ulsan_Namgu/4/20250507T165234773190,2,1,33.54063,550.02
------,------,------,------,------
data/testing/Ulsan_Namgu/4/20250507T165235122957,2,1,33.23396,679.64
------,------,------,------,------
data/testing/Ulsan_Namgu/4/20250507T165234912467,2,1,33.39251,270.27
------,------,------,------,------
MEAN,,,33.6503,520.1419
