test_instance,truck_cus,drone_cus,inference_time,timespan
data/testing/Ulsan_Namgu/9/20250429T201128642965,6,2,81.84813,1146.49
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201127607522,6,2,75.34545,970.25
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201129352193,6,2,75.44599,1019.34
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201127238276,6,2,75.8868,1277.06
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201128293848,5,3,80.9591,1268.87
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201130406725,6,2,77.07963,1158.06
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201124212065,6,2,76.60316,1061.53
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201128973984,6,2,74.18231,1157.48
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201123529537,6,2,76.92654,1002.09
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201126241147,5,3,83.61807,968.48
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201125040405,6,2,81.44618,1052.55
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201126885314,6,2,67.85211,1172.23
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201126569215,6,2,70.08518,799.85
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201124640438,6,2,80.40799,1215.31
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201125429764,6,2,74.74605,1072.39
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201127939697,5,3,69.4692,915.84
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201130063727,5,3,73.33087,920.2
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201123878894,6,2,75.32429,1024.58
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201125804942,6,2,71.18314,899.96
------,------,------,------,------
data/testing/Ulsan_Namgu/9/20250429T201129707459,6,2,70.27925,1164.58
------,------,------,------,------
MEAN,,,75.6010,1063.3570
