test_instance,truck_cus,drone_cus,inference_time,timespan
data/testing/Ulsan_Namgu/16/20250429T201211484932,11,4,182.90737,1776.55
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201229739626,13,2,185.87747,2072.71
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201221736298,12,3,195.85853,1961.07
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201218247115,12,3,166.71569,2018.17
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201231912191,12,3,159.10919,1741.92
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201212666270,13,2,162.73838,1838.21
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201220585643,11,4,177.98189,2308.47
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201217044814,11,4,187.23924,2227.26
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201233021354,13,2,183.69307,1932.56
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201214857366,12,3,179.93401,1889.85
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201222891892,13,2,167.28231,1943.75
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201213787797,12,3,181.0771,1874.87
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201225318979,10,5,197.84785,1829.96
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201215927917,10,5,181.65177,1687.22
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201219422149,11,4,154.19893,1801.83
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201227508864,12,3,174.99991,1640.61
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201228633790,12,3,192.63603,2002.07
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201230813974,12,3,179.83971,1731.07
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201224072752,11,4,166.44902,2225.32
------,------,------,------,------
data/testing/Ulsan_Namgu/16/20250429T201226455912,13,2,172.62477,1891.08
------,------,------,------,------
MEAN,,,177.5331,1919.7275
